country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,place_id,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-01,3,24,46,-15,-49,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-02,11,35,28,-4,-4,3
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-03,14,36,20,-9,-10,4
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-04,11,33,15,-9,-8,4
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-05,12,34,17,-10,-7,4
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-06,10,30,12,-11,-5,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-07,6,25,6,-13,-3,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-08,8,31,10,-6,1,3
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-09,7,28,13,-6,2,4
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-10,7,27,6,-13,-4,4
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-11,1,20,-1,-15,-4,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-12,5,25,6,-14,-3,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-13,8,29,7,-12,-2,4
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-14,6,25,5,-13,1,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-15,5,26,6,-10,4,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-16,6,26,14,-10,5,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-17,5,23,6,-15,-1,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-18,1,21,3,-15,-2,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-19,6,26,5,-16,0,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-20,6,26,3,-15,1,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-21,7,25,5,-15,4,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-22,6,25,5,-14,7,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-23,7,25,14,-14,7,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-24,8,26,11,-17,1,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-25,8,28,8,-16,0,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-26,9,27,10,-17,0,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-27,10,28,9,-15,2,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-28,7,26,4,-15,4,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-29,9,32,10,-9,8,5
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-30,8,28,16,-13,8,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-01-31,14,34,20,-16,-5,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-01,16,34,48,-17,-55,14
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-02,12,36,14,-16,-2,6
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-03,9,32,9,-18,-1,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-04,5,24,2,-22,0,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-05,4,28,-1,-17,4,7
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-06,4,26,5,-18,4,8
ID,Indonesia,,,,,,ChIJtwRkSdcHTCwRhfStG-dNe-M,2022-02-07,7,28,5,-23,-6,8
